dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000648511,-0.14826,7.482764336383175e-59,IR
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000648511,-0.14826,7.482764336383175e-59,codingPotential
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000648511,-0.14826,7.482764336383175e-59,domain_identified
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000512387,-0.11142,7.482764336383175e-59,IR
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000512387,-0.11142,7.482764336383175e-59,codingPotential
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000512387,-0.11142,7.482764336383175e-59,domain_identified
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000253144,0.10178000000000002,7.482764336383175e-59,IR
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000253144,0.10178000000000002,7.482764336383175e-59,codingPotential
Maddock_SN_FA1,ZNF331,ZNF331,ENST00000253144,0.10178000000000002,7.482764336383175e-59,domain_identified
Maddock_SN_FA1,FAM88E,FAM88E,ENST00000806182,0.33746,8.52570435551505e-30,IR
Maddock_SN_FA1,FAM88E,FAM88E,ENST00000806186,-0.17812,8.52570435551505e-30,IR
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000427331,-0.28464,2.8220502487578646e-28,codingPotential
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000427331,-0.28464,2.8220502487578646e-28,domain_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000427331,-0.28464,2.8220502487578646e-28,signal_peptide_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000418658,0.11734,2.8220502487578646e-28,codingPotential
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000418658,0.11734,2.8220502487578646e-28,domain_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000418658,0.11734,2.8220502487578646e-28,signal_peptide_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000422330,0.11402,2.8220502487578646e-28,domain_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000422330,0.11402,2.8220502487578646e-28,signal_peptide_identified
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000397459,0.11356,2.8220502487578646e-28,codingPotential
Maddock_SN_FA1,CNTN4,CNTN4,ENST00000397459,0.11356,2.8220502487578646e-28,domain_identified
Maddock_SN_FA1,ENSG00000307088.1,NA,ENST00000823750,0.10171999999999999,1.6634280787446462e-25,IR
Maddock_SN_FA1,SNAP25-AS1,SNAP25-AS1,ENST00000661614,0.13828000000000001,3.6319848656866844e-24,IR
Maddock_SN_FA1,SNAP25-AS1,SNAP25-AS1,ENST00000670580,-0.11675999999999999,3.6319848656866844e-24,IR
Maddock_SN_FA1,ENSG00000241860.8,NA,ENST00000484859,0.29117999999999994,1.685016072155571e-23,IR
Maddock_SN_FA1,ENSG00000241860.8,NA,ENST00000831119,-0.10586000000000001,1.685016072155571e-23,IR
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.24168,2.4661100309985264e-23,codingPotential
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.24168,2.4661100309985264e-23,domain_identified
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.24168,2.4661100309985264e-23,signal_peptide_identified
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.24167999999999998,2.4661100309985264e-23,codingPotential
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.24167999999999998,2.4661100309985264e-23,domain_identified
Maddock_SN_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.24167999999999998,2.4661100309985264e-23,signal_peptide_identified
Maddock_SN_FA1,BCOR,BCOR,ENST00000397354,0.16002000000000002,3.026347748286136e-22,codingPotential
Maddock_SN_FA1,BCOR,BCOR,ENST00000490976,-0.1139,3.026347748286136e-22,codingPotential
Maddock_SN_FA1,HAUS7,HAUS7,ENST00000460898,0.23534,4.1342289267949086e-21,codingPotential
Maddock_SN_FA1,HAUS7,HAUS7,ENST00000370211,-0.17784,4.1342289267949086e-21,codingPotential
Maddock_SN_FA1,GRM1,GRM1,ENST00000706836,-0.55428,5.516832877958943e-21,codingPotential
Maddock_SN_FA1,GRM1,GRM1,ENST00000706836,-0.55428,5.516832877958943e-21,domain_identified
Maddock_SN_FA1,GRM1,GRM1,ENST00000492807,0.41786,5.516832877958943e-21,codingPotential
Maddock_SN_FA1,GRM1,GRM1,ENST00000492807,0.41786,5.516832877958943e-21,domain_identified
Maddock_SN_FA1,GRM1,GRM1,ENST00000282753,0.20737999999999998,5.516832877958943e-21,codingPotential
Maddock_SN_FA1,GRM1,GRM1,ENST00000282753,0.20737999999999998,5.516832877958943e-21,domain_identified
Maddock_SN_FA1,GRM1,GRM1,ENST00000361719,-0.11155999999999999,5.516832877958943e-21,codingPotential
Maddock_SN_FA1,GRM1,GRM1,ENST00000361719,-0.11155999999999999,5.516832877958943e-21,domain_identified
Maddock_SN_FA1,ENPP2,ENPP2,ENST00000427067,-0.132,1.6612392683278758e-18,codingPotential
Maddock_SN_FA1,ENPP2,ENPP2,ENST00000427067,-0.132,1.6612392683278758e-18,domain_identified
Maddock_SN_FA1,AFDN-DT,AFDN-DT,ENST00000794573,-0.10765999999999999,4.0458616828904304e-17,IR
Maddock_SN_FA1,CHL1,CHL1,ENST00000449294,-0.3854,1.702127936761211e-16,domain_identified
Maddock_SN_FA1,CHL1,CHL1,ENST00000449294,-0.3854,1.702127936761211e-16,signal_peptide_identified
Maddock_SN_FA1,CHL1,CHL1,ENST00000421198,0.18858,1.702127936761211e-16,domain_identified
Maddock_SN_FA1,CHL1,CHL1,ENST00000421198,0.18858,1.702127936761211e-16,signal_peptide_identified
Maddock_SN_FA1,ENSG00000290937.2,NA,ENST00000779251,-0.186,1.3429197852820795e-15,IR
Maddock_SN_FA1,RAB37,RAB37,ENST00000402449,-0.23852,4.241736861057159e-15,codingPotential
Maddock_SN_FA1,RAB37,RAB37,ENST00000402449,-0.23852,4.241736861057159e-15,domain_identified
Maddock_SN_FA1,RAB37,RAB37,ENST00000392612,0.10678,4.241736861057159e-15,codingPotential
Maddock_SN_FA1,RAB37,RAB37,ENST00000392612,0.10678,4.241736861057159e-15,domain_identified
Maddock_SN_FA1,NRG2,NRG2,ENST00000541337,-0.17320000000000002,4.018515413025219e-14,codingPotential
Maddock_SN_FA1,NRG2,NRG2,ENST00000541337,-0.17320000000000002,4.018515413025219e-14,domain_identified
Maddock_SN_FA1,NRG2,NRG2,ENST00000289409,-0.11426,4.018515413025219e-14,codingPotential
Maddock_SN_FA1,NRG2,NRG2,ENST00000289409,-0.11426,4.018515413025219e-14,domain_identified
Maddock_SN_FA1,NRG2,NRG2,ENST00000361474,0.11282000000000003,4.018515413025219e-14,codingPotential
Maddock_SN_FA1,NRG2,NRG2,ENST00000361474,0.11282000000000003,4.018515413025219e-14,domain_identified
Maddock_SN_FA1,DHRS4L1,DHRS4L1,ENST00000715443,-0.19604000000000002,8.859486337421127e-11,codingPotential
Maddock_SN_FA1,DHRS4L1,DHRS4L1,ENST00000686122,0.1325,8.859486337421127e-11,IR
Maddock_SN_FA1,DHRS4L1,DHRS4L1,ENST00000686122,0.1325,8.859486337421127e-11,codingPotential
Maddock_SN_FA1,PRKAG2,PRKAG2,ENST00000492843,0.14998,4.4241929040921416e-10,codingPotential
Maddock_SN_FA1,PRKAG2,PRKAG2,ENST00000492843,0.14998,4.4241929040921416e-10,domain_identified
Maddock_SN_FA1,PRKAG2,PRKAG2,ENST00000418337,-0.13126000000000004,4.4241929040921416e-10,codingPotential
Maddock_SN_FA1,PRKAG2,PRKAG2,ENST00000418337,-0.13126000000000004,4.4241929040921416e-10,domain_identified
Maddock_SN_FA1,PITX2,PITX2,ENST00000394595,0.13971999999999998,5.267117536646915e-10,codingPotential
Maddock_SN_FA1,PITX2,PITX2,ENST00000394595,0.13971999999999998,5.267117536646915e-10,domain_identified
Maddock_SN_FA1,PITX2,PITX2,ENST00000644743,-0.12757999999999997,5.267117536646915e-10,codingPotential
Maddock_SN_FA1,PITX2,PITX2,ENST00000644743,-0.12757999999999997,5.267117536646915e-10,domain_identified
Maddock_SN_FA1,LINC02851,LINC02851,ENST00000615168,-0.10638,9.637940729000917e-10,IR
Maddock_SN_FA1,TGFA,TGFA,ENST00000418333,-0.13962,6.948854135558623e-7,codingPotential
Maddock_SN_FA1,TGFA,TGFA,ENST00000418333,-0.13962,6.948854135558623e-7,signal_peptide_identified
Maddock_SN_FA1,CHRM3,CHRM3,ENST00000255380,-0.15132,1.6384195187556977e-6,codingPotential
Maddock_SN_FA1,CHRM3,CHRM3,ENST00000255380,-0.15132,1.6384195187556977e-6,domain_identified
Maddock_SN_FA1,CHRM3,CHRM3,ENST00000676153,0.10277999999999998,1.6384195187556977e-6,codingPotential
Maddock_SN_FA1,CHRM3,CHRM3,ENST00000676153,0.10277999999999998,1.6384195187556977e-6,domain_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000562220,0.5587000000000001,9.3042751653839e-6,IR
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000562220,0.5587000000000001,9.3042751653839e-6,codingPotential
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000562220,0.5587000000000001,9.3042751653839e-6,domain_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000562220,0.5587000000000001,9.3042751653839e-6,signal_peptide_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000307360,-0.4022,9.3042751653839e-6,IR
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000307360,-0.4022,9.3042751653839e-6,codingPotential
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000307360,-0.4022,9.3042751653839e-6,domain_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000307360,-0.4022,9.3042751653839e-6,signal_peptide_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000506939,-0.3093,9.3042751653839e-6,codingPotential
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000506939,-0.3093,9.3042751653839e-6,domain_identified
Maddock_SN_FA1,PCDHA10,PCDHA10,ENST00000506939,-0.3093,9.3042751653839e-6,signal_peptide_identified
Maddock_SN_FA1,AMN,AMN,ENST00000541086,0.33464,3.388751846104417e-5,codingPotential
Maddock_SN_FA1,AMN,AMN,ENST00000299155,-0.24744000000000002,3.388751846104417e-5,codingPotential
Maddock_SN_FA1,AMN,AMN,ENST00000299155,-0.24744000000000002,3.388751846104417e-5,domain_identified
Maddock_SN_FA1,AMN,AMN,ENST00000299155,-0.24744000000000002,3.388751846104417e-5,signal_peptide_identified
Maddock_SN_FA1,SYCP2,SYCP2,ENST00000371001,0.43378000000000005,5.387754670539328e-5,codingPotential
Maddock_SN_FA1,SYCP2,SYCP2,ENST00000371001,0.43378000000000005,5.387754670539328e-5,domain_identified
Maddock_SN_FA1,SYCP2,SYCP2,ENST00000357552,-0.404,5.387754670539328e-5,codingPotential
Maddock_SN_FA1,SYCP2,SYCP2,ENST00000357552,-0.404,5.387754670539328e-5,domain_identified
Maddock_SN_FA1,TIAM2,TIAM2,ENST00000682666,0.18172,6.763709972473422e-5,codingPotential
