dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Maddock_NCC_FA2,INPP5F,INPP5F,ENST00000650409,0.717125,3.852562990889171e-280,codingPotential
Maddock_NCC_FA2,INPP5F,INPP5F,ENST00000650409,0.717125,3.852562990889171e-280,domain_identified
Maddock_NCC_FA2,INPP5F,INPP5F,ENST00000650623,-0.6599249999999999,3.852562990889171e-280,codingPotential
Maddock_NCC_FA2,INPP5F,INPP5F,ENST00000650623,-0.6599249999999999,3.852562990889171e-280,domain_identified
Maddock_NCC_FA2,SHANK2,SHANK2,ENST00000338508,-0.233675,4.761952952808714e-72,codingPotential
Maddock_NCC_FA2,SHANK2,SHANK2,ENST00000338508,-0.233675,4.761952952808714e-72,domain_identified
Maddock_NCC_FA2,SHANK2,SHANK2,ENST00000601538,0.22415000000000002,4.761952952808714e-72,codingPotential
Maddock_NCC_FA2,SHANK2,SHANK2,ENST00000601538,0.22415000000000002,4.761952952808714e-72,domain_identified
Maddock_NCC_FA2,STK17B,STK17B,ENST00000714417,-0.194625,1.4079269843833081e-64,codingPotential
Maddock_NCC_FA2,STK17B,STK17B,ENST00000714417,-0.194625,1.4079269843833081e-64,domain_identified
Maddock_NCC_FA2,STK17B,STK17B,ENST00000409228,0.16867500000000002,1.4079269843833081e-64,codingPotential
Maddock_NCC_FA2,STK17B,STK17B,ENST00000409228,0.16867500000000002,1.4079269843833081e-64,domain_identified
Maddock_NCC_FA2,IL6ST,IL6ST,ENST00000698647,0.125625,4.2350100932520395e-63,codingPotential
Maddock_NCC_FA2,IL6ST,IL6ST,ENST00000698647,0.125625,4.2350100932520395e-63,PTC
Maddock_NCC_FA2,IL6ST,IL6ST,ENST00000698647,0.125625,4.2350100932520395e-63,domain_identified
Maddock_NCC_FA2,IL6ST,IL6ST,ENST00000698647,0.125625,4.2350100932520395e-63,signal_peptide_identified
Maddock_NCC_FA2,DDHD2,DDHD2,ENST00000532222,0.13425,4.5643798439542996e-63,codingPotential
Maddock_NCC_FA2,DDHD2,DDHD2,ENST00000532222,0.13425,4.5643798439542996e-63,domain_identified
Maddock_NCC_FA2,DDHD2,DDHD2,ENST00000397166,-0.10379999999999995,4.5643798439542996e-63,codingPotential
Maddock_NCC_FA2,DDHD2,DDHD2,ENST00000397166,-0.10379999999999995,4.5643798439542996e-63,domain_identified
Maddock_NCC_FA2,PPP1R37,PPP1R37,ENST00000540059,-0.10819999999999999,5.562360118060776e-51,IR
Maddock_NCC_FA2,PPP1R37,PPP1R37,ENST00000540059,-0.10819999999999999,5.562360118060776e-51,codingPotential
Maddock_NCC_FA2,LINC00115,LINC00115,ENST00000743878,-0.2931,2.3666884754917824e-50,codingPotential
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000360807,0.1799,2.5420831147967967e-49,codingPotential
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000360807,0.1799,2.5420831147967967e-49,domain_identified
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000377813,0.148175,2.5420831147967967e-49,IR
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000377813,0.148175,2.5420831147967967e-49,codingPotential
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000377813,0.148175,2.5420831147967967e-49,domain_identified
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000398782,-0.136675,2.5420831147967967e-49,codingPotential
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000398782,-0.136675,2.5420831147967967e-49,domain_identified
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000377807,-0.116525,2.5420831147967967e-49,codingPotential
Maddock_NCC_FA2,RRBP1,RRBP1,ENST00000377807,-0.116525,2.5420831147967967e-49,domain_identified
Maddock_NCC_FA2,CREB1,CREB1,ENST00000494094,-0.107175,1.494565590529002e-48,codingPotential
Maddock_NCC_FA2,HPS1,HPS1,ENST00000338546,-0.16885,8.430793843312764e-47,IR
Maddock_NCC_FA2,HPS1,HPS1,ENST00000338546,-0.16885,8.430793843312764e-47,codingPotential
Maddock_NCC_FA2,HPS1,HPS1,ENST00000338546,-0.16885,8.430793843312764e-47,domain_identified
Maddock_NCC_FA2,HPS1,HPS1,ENST00000467246,0.1066,8.430793843312764e-47,codingPotential
Maddock_NCC_FA2,HPS1,HPS1,ENST00000467246,0.1066,8.430793843312764e-47,PTC
Maddock_NCC_FA2,HPS1,HPS1,ENST00000467246,0.1066,8.430793843312764e-47,domain_identified
Maddock_NCC_FA2,FMN2,FMN2,ENST00000319653,-0.614575,6.9045084313594894e-43,IR
Maddock_NCC_FA2,FMN2,FMN2,ENST00000319653,-0.614575,6.9045084313594894e-43,codingPotential
Maddock_NCC_FA2,FMN2,FMN2,ENST00000545751,0.171075,6.9045084313594894e-43,codingPotential
Maddock_NCC_FA2,FEZ1,FEZ1,ENST00000366139,0.143525,1.7298643808559658e-38,codingPotential
Maddock_NCC_FA2,FEZ1,FEZ1,ENST00000366139,0.143525,1.7298643808559658e-38,domain_identified
Maddock_NCC_FA2,FEZ1,FEZ1,ENST00000532981,-0.12027499999999999,1.7298643808559658e-38,codingPotential
Maddock_NCC_FA2,HAGH,HAGH,ENST00000564518,0.2777,4.208677120749724e-36,codingPotential
Maddock_NCC_FA2,HAGH,HAGH,ENST00000455446,-0.13117499999999999,4.208677120749724e-36,codingPotential
Maddock_NCC_FA2,HAGH,HAGH,ENST00000455446,-0.13117499999999999,4.208677120749724e-36,domain_identified
Maddock_NCC_FA2,NAV3,NAV3,ENST00000550788,-0.1024,1.491139480570974e-34,codingPotential
Maddock_NCC_FA2,NAV3,NAV3,ENST00000550788,-0.1024,1.491139480570974e-34,domain_identified
Maddock_NCC_FA2,TRIM52-AS1,TRIM52-AS1,ENST00000657194,0.26222500000000004,9.341261461781183e-34,IR
Maddock_NCC_FA2,ENSG00000282885.4,NA,ENST00000659240,-0.50755,9.165662354295508e-33,IR
Maddock_NCC_FA2,ENSG00000282885.4,NA,ENST00000655317,0.37450000000000006,9.165662354295508e-33,IR
Maddock_NCC_FA2,SAMHD1,SAMHD1,ENST00000644688,0.226625,1.6222786550820508e-32,codingPotential
Maddock_NCC_FA2,TXNRD2,TXNRD2,ENST00000462330,-0.338425,2.266154327336049e-32,codingPotential
Maddock_NCC_FA2,TXNRD2,TXNRD2,ENST00000400521,0.2351,2.266154327336049e-32,codingPotential
Maddock_NCC_FA2,KIAA0040,KIAA0040,ENST00000619513,0.2435,7.982797792144876e-32,codingPotential
Maddock_NCC_FA2,KIAA0040,KIAA0040,ENST00000423313,-0.20025000000000004,7.982797792144876e-32,codingPotential
Maddock_NCC_FA2,KIAA0040,KIAA0040,ENST00000444639,-0.156675,7.982797792144876e-32,codingPotential
Maddock_NCC_FA2,KIAA0040,KIAA0040,ENST00000545251,0.13854999999999998,7.982797792144876e-32,codingPotential
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000622836,-0.8383750000000001,1.4010532139500374e-28,codingPotential
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000308177,0.509375,1.4010532139500374e-28,IR
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000308177,0.509375,1.4010532139500374e-28,codingPotential
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000308177,0.509375,1.4010532139500374e-28,domain_identified
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000308177,0.509375,1.4010532139500374e-28,signal_peptide_identified
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000617641,0.165625,1.4010532139500374e-28,codingPotential
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000617641,0.165625,1.4010532139500374e-28,domain_identified
Maddock_NCC_FA2,PCDHGC3,PCDHGC3,ENST00000616230,0.148625,1.4010532139500374e-28,codingPotential
Maddock_NCC_FA2,FBRS,FBRS,ENST00000482749,0.187575,2.53440477481482e-28,codingPotential
Maddock_NCC_FA2,FBRS,FBRS,ENST00000356166,-0.16827499999999995,2.53440477481482e-28,codingPotential
Maddock_NCC_FA2,FBRS,FBRS,ENST00000356166,-0.16827499999999995,2.53440477481482e-28,domain_identified
