dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Mishra_223,GRB2,GRB2,ENST00000316804,0.25965,3.2585868710821767e-175,IR
Mishra_223,GRB2,GRB2,ENST00000316804,0.25965,3.2585868710821767e-175,codingPotential
Mishra_223,GRB2,GRB2,ENST00000316804,0.25965,3.2585868710821767e-175,domain_identified
Mishra_223,GRB2,GRB2,ENST00000392564,-0.23115000000000002,3.2585868710821767e-175,IR
Mishra_223,GRB2,GRB2,ENST00000392564,-0.23115000000000002,3.2585868710821767e-175,codingPotential
Mishra_223,GRB2,GRB2,ENST00000392564,-0.23115000000000002,3.2585868710821767e-175,domain_identified
Mishra_223,GRB2,GRB2,ENST00000648046,-0.11945,3.2585868710821767e-175,codingPotential
Mishra_223,GRB2,GRB2,ENST00000648046,-0.11945,3.2585868710821767e-175,PTC
Mishra_223,GRB2,GRB2,ENST00000648046,-0.11945,3.2585868710821767e-175,domain_identified
Mishra_223,KIF21B,KIF21B,ENST00000422435,-0.159925,1.645941382956719e-104,codingPotential
Mishra_223,KIF21B,KIF21B,ENST00000422435,-0.159925,1.645941382956719e-104,domain_identified
Mishra_223,KIF21B,KIF21B,ENST00000360529,0.1047,1.645941382956719e-104,codingPotential
Mishra_223,KIF21B,KIF21B,ENST00000360529,0.1047,1.645941382956719e-104,domain_identified
Mishra_223,ZBTB14,ZBTB14,ENST00000615385,-0.6524,1.834654179930533e-85,codingPotential
Mishra_223,ZBTB14,ZBTB14,ENST00000615385,-0.6524,1.834654179930533e-85,domain_identified
Mishra_223,ZBTB14,ZBTB14,ENST00000614697,0.62355,1.834654179930533e-85,codingPotential
Mishra_223,ZBTB14,ZBTB14,ENST00000614697,0.62355,1.834654179930533e-85,domain_identified
Mishra_223,CEP78,CEP78,ENST00000643273,-0.21272500000000003,1.2516633409430407e-44,codingPotential
Mishra_223,CEP78,CEP78,ENST00000424347,0.1517,1.2516633409430407e-44,codingPotential
Mishra_223,CEP78,CEP78,ENST00000645398,0.12404999999999998,1.2516633409430407e-44,codingPotential
Mishra_223,INTS6,INTS6,ENST00000497989,-0.2271,4.000318647632785e-39,codingPotential
Mishra_223,INTS6,INTS6,ENST00000497989,-0.2271,4.000318647632785e-39,domain_identified
Mishra_223,INTS6,INTS6,ENST00000469430,0.190975,4.000318647632785e-39,codingPotential
Mishra_223,INTS6,INTS6,ENST00000469430,0.190975,4.000318647632785e-39,PTC
Mishra_223,INTS6,INTS6,ENST00000469430,0.190975,4.000318647632785e-39,domain_identified
Mishra_223,LDHA,LDHA,ENST00000379412,0.23419999999999996,2.606160816329208e-38,IR
Mishra_223,LDHA,LDHA,ENST00000379412,0.23419999999999996,2.606160816329208e-38,codingPotential
Mishra_223,LDHA,LDHA,ENST00000379412,0.23419999999999996,2.606160816329208e-38,domain_identified
Mishra_223,LDHA,LDHA,ENST00000541097,-0.116025,2.606160816329208e-38,codingPotential
Mishra_223,LDHA,LDHA,ENST00000541097,-0.116025,2.606160816329208e-38,PTC
Mishra_223,LDHA,LDHA,ENST00000541097,-0.116025,2.606160816329208e-38,domain_identified
Mishra_223,CDC16,CDC16,ENST00000360383,-0.104075,1.0552767171769232e-36,codingPotential
Mishra_223,CDC16,CDC16,ENST00000360383,-0.104075,1.0552767171769232e-36,domain_identified
Mishra_223,CDC16,CDC16,ENST00000375308,0.10395,1.0552767171769232e-36,codingPotential
Mishra_223,CDC16,CDC16,ENST00000375308,0.10395,1.0552767171769232e-36,domain_identified
Mishra_223,LINC02981,LINC02981,ENST00000448056,-0.23940000000000003,7.659137585526007e-32,IR
Mishra_223,LINC02981,LINC02981,ENST00000448056,-0.23940000000000003,7.659137585526007e-32,codingPotential
Mishra_223,LINC02981,LINC02981,ENST00000702207,0.137525,7.659137585526007e-32,IR
Mishra_223,MED23,MED23,ENST00000368068,-0.10477499999999995,3.5091895449364125e-29,IR
Mishra_223,MED23,MED23,ENST00000368068,-0.10477499999999995,3.5091895449364125e-29,codingPotential
Mishra_223,MED23,MED23,ENST00000368068,-0.10477499999999995,3.5091895449364125e-29,domain_identified
Mishra_223,CAMTA1,CAMTA1,ENST00000700424,-0.1002,1.7097224438494487e-28,codingPotential
Mishra_223,CAMTA1,CAMTA1,ENST00000700424,-0.1002,1.7097224438494487e-28,domain_identified
Mishra_223,ADGRB3,ADGRB3,ENST00000370598,0.24662499999999998,8.340719154982495e-28,codingPotential
Mishra_223,ADGRB3,ADGRB3,ENST00000370598,0.24662499999999998,8.340719154982495e-28,domain_identified
Mishra_223,ADGRB3,ADGRB3,ENST00000604969,-0.12769999999999998,8.340719154982495e-28,IR
Mishra_223,ADGRB3,ADGRB3,ENST00000604969,-0.12769999999999998,8.340719154982495e-28,domain_identified
Mishra_223,SYT2,SYT2,ENST00000367267,-0.20445000000000002,9.132373767704274e-27,codingPotential
Mishra_223,SYT2,SYT2,ENST00000367267,-0.20445000000000002,9.132373767704274e-27,domain_identified
Mishra_223,SYT2,SYT2,ENST00000367268,0.20445,9.132373767704274e-27,codingPotential
Mishra_223,SYT2,SYT2,ENST00000367268,0.20445,9.132373767704274e-27,domain_identified
Mishra_223,ZNF45,ZNF45,ENST00000615985,-0.21585,1.276591788028753e-25,codingPotential
Mishra_223,ZNF45,ZNF45,ENST00000615985,-0.21585,1.276591788028753e-25,domain_identified
Mishra_223,ZNF45,ZNF45,ENST00000589703,0.19037500000000002,1.276591788028753e-25,codingPotential
Mishra_223,ZNF45,ZNF45,ENST00000589703,0.19037500000000002,1.276591788028753e-25,domain_identified
Mishra_223,ACACB,ACACB,ENST00000377848,-0.21485000000000004,7.393841241584591e-25,codingPotential
Mishra_223,ACACB,ACACB,ENST00000377848,-0.21485000000000004,7.393841241584591e-25,domain_identified
Mishra_223,GFER,GFER,ENST00000567719,-0.1555,7.393841241584591e-25,codingPotential
Mishra_223,GFER,GFER,ENST00000567719,-0.1555,7.393841241584591e-25,domain_identified
Mishra_223,ACACB,ACACB,ENST00000377854,0.111125,7.393841241584591e-25,codingPotential
Mishra_223,ACACB,ACACB,ENST00000377854,0.111125,7.393841241584591e-25,domain_identified
Mishra_223,GFER,GFER,ENST00000248114,0.10207499999999997,7.393841241584591e-25,codingPotential
Mishra_223,GFER,GFER,ENST00000248114,0.10207499999999997,7.393841241584591e-25,domain_identified
Mishra_223,ZMYND8,ZMYND8,ENST00000471951,-0.13677500000000004,6.008812826483577e-22,codingPotential
Mishra_223,ZMYND8,ZMYND8,ENST00000471951,-0.13677500000000004,6.008812826483577e-22,domain_identified
Mishra_223,ZMYND8,ZMYND8,ENST00000461685,0.116675,6.008812826483577e-22,codingPotential
Mishra_223,ZMYND8,ZMYND8,ENST00000461685,0.116675,6.008812826483577e-22,domain_identified
Mishra_223,RGPD6,RGPD6,ENST00000329516,0.34057499999999996,4.206554016089662e-20,IR
Mishra_223,RGPD6,RGPD6,ENST00000329516,0.34057499999999996,4.206554016089662e-20,codingPotential
Mishra_223,RGPD6,RGPD6,ENST00000329516,0.34057499999999996,4.206554016089662e-20,domain_identified
Mishra_223,RGPD6,RGPD6,ENST00000696447,-0.23359999999999997,4.206554016089662e-20,IR
Mishra_223,RGPD6,RGPD6,ENST00000696447,-0.23359999999999997,4.206554016089662e-20,codingPotential
Mishra_223,RGPD6,RGPD6,ENST00000696447,-0.23359999999999997,4.206554016089662e-20,PTC
Mishra_223,RGPD6,RGPD6,ENST00000696447,-0.23359999999999997,4.206554016089662e-20,domain_identified
Mishra_223,MCC,MCC,ENST00000511847,-0.312275,4.278805124011518e-20,codingPotential
Mishra_223,MCC,MCC,ENST00000506605,0.2937,4.278805124011518e-20,codingPotential
Mishra_223,ARB2A,ARB2A,ENST00000395965,0.13549999999999995,8.939122120847304e-19,codingPotential
Mishra_223,ARB2A,ARB2A,ENST00000395965,0.13549999999999995,8.939122120847304e-19,domain_identified
Mishra_223,RBM6,RBM6,ENST00000266022,-0.10032500000000001,1.4158264648338506e-16,codingPotential
Mishra_223,RBM6,RBM6,ENST00000266022,-0.10032500000000001,1.4158264648338506e-16,domain_identified
Mishra_223,SLC1A4,SLC1A4,ENST00000471551,-0.256275,2.84672568474159e-16,codingPotential
Mishra_223,SLC1A4,SLC1A4,ENST00000234256,0.21065,2.84672568474159e-16,codingPotential
Mishra_223,SLC1A4,SLC1A4,ENST00000234256,0.21065,2.84672568474159e-16,domain_identified
Mishra_223,RFXANK,RFXANK,ENST00000407360,0.166475,3.275352957159798e-16,codingPotential
Mishra_223,RFXANK,RFXANK,ENST00000407360,0.166475,3.275352957159798e-16,domain_identified
Mishra_223,RFXANK,RFXANK,ENST00000303088,-0.15792499999999998,3.275352957159798e-16,codingPotential
Mishra_223,RFXANK,RFXANK,ENST00000303088,-0.15792499999999998,3.275352957159798e-16,domain_identified
Mishra_223,RUSC1,RUSC1,ENST00000368352,-0.449075,1.2426723466149356e-15,IR
Mishra_223,RUSC1,RUSC1,ENST00000368352,-0.449075,1.2426723466149356e-15,codingPotential
Mishra_223,RUSC1,RUSC1,ENST00000368352,-0.449075,1.2426723466149356e-15,domain_identified
Mishra_223,RUSC1,RUSC1,ENST00000368349,0.3187,1.2426723466149356e-15,IR
Mishra_223,RUSC1,RUSC1,ENST00000368349,0.3187,1.2426723466149356e-15,codingPotential
Mishra_223,RUSC1,RUSC1,ENST00000368349,0.3187,1.2426723466149356e-15,domain_identified
Mishra_223,CASTOR3P,CASTOR3P,ENST00000328453,-0.16537500000000002,1.754278991237182e-15,codingPotential
Mishra_223,GUCY1B1,GUCY1B1,ENST00000505154,0.187,1.7064781896375253e-14,codingPotential
Mishra_223,GUCY1B1,GUCY1B1,ENST00000505154,0.187,1.7064781896375253e-14,domain_identified
Mishra_223,SPPL2A,SPPL2A,ENST00000698140,-0.115925,2.480033265734557e-13,codingPotential
Mishra_223,SLC35A3,SLC35A3,ENST00000465289,-0.263075,2.707874763116275e-13,IR
Mishra_223,SLC35A3,SLC35A3,ENST00000465289,-0.263075,2.707874763116275e-13,codingPotential
Mishra_223,SLC35A3,SLC35A3,ENST00000465289,-0.263075,2.707874763116275e-13,domain_identified
