dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Indelicato,ANKRD23,ANKRD23,ENST00000331001,0.6962571428571428,2.3024929559548375e-18,IR
Indelicato,ANKRD23,ANKRD23,ENST00000331001,0.6962571428571428,2.3024929559548375e-18,codingPotential
Indelicato,ANKRD23,ANKRD23,ENST00000331001,0.6962571428571428,2.3024929559548375e-18,domain_identified
Indelicato,ANKRD23,ANKRD23,ENST00000318357,-0.6183571428571428,2.3024929559548375e-18,IR
Indelicato,ANKRD23,ANKRD23,ENST00000318357,-0.6183571428571428,2.3024929559548375e-18,codingPotential
Indelicato,ANKRD23,ANKRD23,ENST00000318357,-0.6183571428571428,2.3024929559548375e-18,domain_identified
Indelicato,MYL2,MYL2,ENST00000713801,-0.55005,1.756133942694977e-17,codingPotential
Indelicato,MYL2,MYL2,ENST00000713801,-0.55005,1.756133942694977e-17,domain_identified
Indelicato,MYL2,MYL2,ENST00000713803,0.31088095238095237,1.756133942694977e-17,codingPotential
Indelicato,MYL2,MYL2,ENST00000713803,0.31088095238095237,1.756133942694977e-17,domain_identified
Indelicato,MYL2,MYL2,ENST00000713800,0.22475238095238095,1.756133942694977e-17,codingPotential
Indelicato,MYL2,MYL2,ENST00000713800,0.22475238095238095,1.756133942694977e-17,domain_identified
Indelicato,RPL13A,RPL13A,ENST00000477613,-0.47368333333333335,2.332846275655191e-16,codingPotential
Indelicato,RPL13A,RPL13A,ENST00000624069,0.3910119047619048,2.332846275655191e-16,codingPotential
Indelicato,RPL13A,RPL13A,ENST00000624069,0.3910119047619048,2.332846275655191e-16,PTC
Indelicato,RPL13A,RPL13A,ENST00000678713,0.12122619047619049,2.332846275655191e-16,codingPotential
Indelicato,RPL13A,RPL13A,ENST00000678713,0.12122619047619049,2.332846275655191e-16,PTC
Indelicato,PTMA,PTMA,ENST00000409115,-0.7521809523809524,1.151779570974092e-13,codingPotential
Indelicato,PTMA,PTMA,ENST00000409115,-0.7521809523809524,1.151779570974092e-13,domain_identified
Indelicato,PTMA,PTMA,ENST00000409321,0.6847428571428571,1.151779570974092e-13,codingPotential
Indelicato,PTMA,PTMA,ENST00000409321,0.6847428571428571,1.151779570974092e-13,domain_identified
Indelicato,RPL35A,RPL35A,ENST00000647248,0.5869952380952381,1.151779570974092e-13,codingPotential
Indelicato,RPL35A,RPL35A,ENST00000647248,0.5869952380952381,1.151779570974092e-13,domain_identified
Indelicato,RPL35A,RPL35A,ENST00000448864,-0.5793666666666667,1.151779570974092e-13,codingPotential
Indelicato,RPL35A,RPL35A,ENST00000448864,-0.5793666666666667,1.151779570974092e-13,domain_identified
Indelicato,FXR1,FXR1,ENST00000479176,0.43219761904761905,1.151779570974092e-13,codingPotential
Indelicato,FXR1,FXR1,ENST00000445140,-0.22840476190476192,1.151779570974092e-13,codingPotential
Indelicato,FXR1,FXR1,ENST00000445140,-0.22840476190476192,1.151779570974092e-13,domain_identified
Indelicato,FXR1,FXR1,ENST00000482125,-0.13239285714285715,1.151779570974092e-13,codingPotential
Indelicato,FXR1,FXR1,ENST00000698794,-0.12835714285714286,1.151779570974092e-13,IR
Indelicato,FXR1,FXR1,ENST00000698794,-0.12835714285714286,1.151779570974092e-13,codingPotential
Indelicato,FXR1,FXR1,ENST00000698794,-0.12835714285714286,1.151779570974092e-13,domain_identified
Indelicato,FXR1,FXR1,ENST00000465551,0.12191428571428571,1.151779570974092e-13,domain_identified
Indelicato,PABPC4,PABPC4,ENST00000677006,0.3364928571428572,1.6714115426815893e-13,codingPotential
Indelicato,PABPC4,PABPC4,ENST00000677006,0.3364928571428572,1.6714115426815893e-13,domain_identified
