dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lees_FA1,PHRF1,PHRF1,2,codingPotential; domain_identified,0.13393333333333335,9.198280164910966e-56
Lees_FA1,TET2,TET2,1,codingPotential,0.1012,1.0451326065343454e-46
Lees_FA1,CDC16,CDC16,2,codingPotential; domain_identified,0.14716666666666667,1.38368785733688e-32
Lees_FA1,ELAPOR2,ELAPOR2,2,codingPotential; domain_identified,0.17476666666666668,2.199979545138232e-31
Lees_FA1,CHN1,CHN1,3,codingPotential; domain_identified; signal_peptide_identified,0.12123333333333333,1.5640208269266835e-29
Lees_FA1,ERCC6L2,ERCC6L2,3,codingPotential; domain_identified; PTC,0.11843333333333333,3.4760345567662963e-26
Lees_FA1,CEP85,CEP85,1,codingPotential,0.12496666666666667,1.3061609083648043e-24
Lees_FA1,DLG1,DLG1,2,codingPotential; domain_identified,0.1069,2.1971493538933377e-24
Lees_FA1,CAPRIN2,CAPRIN2,2,codingPotential; domain_identified,0.12416666666666666,1.3478620785648137e-22
Lees_FA1,CEP41,CEP41,2,codingPotential; domain_identified,0.15263333333333334,3.6768762168253855e-21
Lees_FA1,ATF6,ATF6,3,codingPotential; domain_identified; PTC,0.13546666666666662,4.080733622777551e-21
Lees_FA1,ENSG00000291176.2,NA,2,codingPotential; IR,0.15413333333333334,3.2037499246856676e-19
Lees_FA1,ENSG00000291220.2,NA,2,codingPotential; IR,0.19606666666666667,6.594595144641568e-19
Lees_FA1,TRIM2,TRIM2,2,codingPotential; domain_identified,0.13286666666666666,1.6406501865472523e-18
Lees_FA1,RBM6,RBM6,2,codingPotential; domain_identified,0.10776666666666665,6.689876899730698e-18
Lees_FA1,PDPR2P,PDPR2P,1,codingPotential,0.1815,1.3224178527002367e-16
Lees_FA1,ARID4B,ARID4B,1,codingPotential,0.108,2.323522528628086e-16
Lees_FA1,RIF1,RIF1,3,codingPotential; domain_identified; IR,0.13366666666666668,1.0044490774338828e-15
Lees_FA1,WDPCP,WDPCP,1,codingPotential,0.12436666666666667,1.1499907124524063e-15
