dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Lai_PNS,NIN,NIN,ENST00000530997,-0.19899999999999998,1.6704691995275725e-192,codingPotential
Lai_PNS,NIN,NIN,ENST00000706706,0.1538,1.6704691995275725e-192,codingPotential
Lai_PNS,NIN,NIN,ENST00000706706,0.1538,1.6704691995275725e-192,PTC
Lai_PNS,NIN,NIN,ENST00000706705,0.13878333333333334,1.6704691995275725e-192,codingPotential
Lai_PNS,NIN,NIN,ENST00000706705,0.13878333333333334,1.6704691995275725e-192,PTC
Lai_PNS,INPP5F,INPP5F,ENST00000650623,-0.46295000000000003,5.27101074690381e-140,codingPotential
Lai_PNS,INPP5F,INPP5F,ENST00000650623,-0.46295000000000003,5.27101074690381e-140,domain_identified
Lai_PNS,INPP5F,INPP5F,ENST00000650409,0.319,5.27101074690381e-140,codingPotential
Lai_PNS,INPP5F,INPP5F,ENST00000650409,0.319,5.27101074690381e-140,domain_identified
Lai_PNS,INPP5F,INPP5F,ENST00000637174,0.15536666666666665,5.27101074690381e-140,codingPotential
Lai_PNS,INPP5F,INPP5F,ENST00000637174,0.15536666666666665,5.27101074690381e-140,domain_identified
Lai_PNS,HSPA1A,HSPA1A,ENST00000608703,-0.6708666666666667,1.748721816209275e-120,codingPotential
Lai_PNS,HSPA1A,HSPA1A,ENST00000608703,-0.6708666666666667,1.748721816209275e-120,domain_identified
Lai_PNS,HSPA1A,HSPA1A,ENST00000375651,0.6708666666666666,1.748721816209275e-120,IR
Lai_PNS,HSPA1A,HSPA1A,ENST00000375651,0.6708666666666666,1.748721816209275e-120,codingPotential
Lai_PNS,HSPA1A,HSPA1A,ENST00000375651,0.6708666666666666,1.748721816209275e-120,domain_identified
Lai_PNS,DGCR8,DGCR8,ENST00000457069,0.273,4.3662670043826044e-91,codingPotential
Lai_PNS,DGCR8,DGCR8,ENST00000457069,0.273,4.3662670043826044e-91,domain_identified
Lai_PNS,DGCR8,DGCR8,ENST00000351989,-0.23203333333333337,4.3662670043826044e-91,codingPotential
Lai_PNS,DGCR8,DGCR8,ENST00000351989,-0.23203333333333337,4.3662670043826044e-91,domain_identified
Lai_PNS,CTNND2,CTNND2,ENST00000506324,-0.41303333333333336,1.2956910321470005e-76,codingPotential
Lai_PNS,CTNND2,CTNND2,ENST00000513598,0.15856666666666666,1.2956910321470005e-76,codingPotential
Lai_PNS,STAT2,STAT2,ENST00000698186,0.1129,5.063105118892066e-73,IR
Lai_PNS,STAT2,STAT2,ENST00000698186,0.1129,5.063105118892066e-73,codingPotential
Lai_PNS,STAT2,STAT2,ENST00000698186,0.1129,5.063105118892066e-73,domain_identified
Lai_PNS,PACSIN2,PACSIN2,ENST00000337959,0.16770000000000002,2.4732526786276875e-63,codingPotential
Lai_PNS,PACSIN2,PACSIN2,ENST00000337959,0.16770000000000002,2.4732526786276875e-63,domain_identified
Lai_PNS,PACSIN2,PACSIN2,ENST00000263246,-0.1294333333333333,2.4732526786276875e-63,codingPotential
Lai_PNS,PACSIN2,PACSIN2,ENST00000263246,-0.1294333333333333,2.4732526786276875e-63,domain_identified
Lai_PNS,DDHD1,DDHD1,ENST00000323669,-0.14478333333333332,1.4363923975171402e-54,codingPotential
Lai_PNS,DDHD1,DDHD1,ENST00000323669,-0.14478333333333332,1.4363923975171402e-54,domain_identified
Lai_PNS,DDHD1,DDHD1,ENST00000674014,0.12356666666666667,1.4363923975171402e-54,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000619423,-0.2946,9.129528588461461e-53,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000619423,-0.2946,9.129528588461461e-53,domain_identified
Lai_PNS,NBPF14,NBPF14,ENST00000614999,0.27601666666666663,9.129528588461461e-53,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000614999,0.27601666666666663,9.129528588461461e-53,domain_identified
Lai_PNS,NBPF14,NBPF14,ENST00000621066,-0.22338333333333332,9.129528588461461e-53,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000621066,-0.22338333333333332,9.129528588461461e-53,domain_identified
Lai_PNS,NBPF14,NBPF14,ENST00000616120,0.1524,9.129528588461461e-53,IR
Lai_PNS,NBPF14,NBPF14,ENST00000616120,0.1524,9.129528588461461e-53,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000616120,0.1524,9.129528588461461e-53,PTC
Lai_PNS,NBPF14,NBPF14,ENST00000616120,0.1524,9.129528588461461e-53,domain_identified
Lai_PNS,NBPF14,NBPF14,ENST00000621070,0.15176666666666666,9.129528588461461e-53,codingPotential
Lai_PNS,NBPF14,NBPF14,ENST00000621070,0.15176666666666666,9.129528588461461e-53,domain_identified
Lai_PNS,NBPF14,NBPF14,ENST00000606877,-0.12208333333333332,9.129528588461461e-53,codingPotential
Lai_PNS,MYLK,MYLK,ENST00000685953,0.2094,2.7837095682036267e-47,IR
Lai_PNS,MYLK,MYLK,ENST00000685953,0.2094,2.7837095682036267e-47,codingPotential
Lai_PNS,MYLK,MYLK,ENST00000685953,0.2094,2.7837095682036267e-47,domain_identified
Lai_PNS,CLU,CLU,ENST00000520491,-0.17648333333333333,3.7012599066097226e-47,codingPotential
Lai_PNS,CLU,CLU,ENST00000520491,-0.17648333333333333,3.7012599066097226e-47,domain_identified
Lai_PNS,CLU,CLU,ENST00000520491,-0.17648333333333333,3.7012599066097226e-47,signal_peptide_identified
Lai_PNS,CLU,CLU,ENST00000519742,0.11,3.7012599066097226e-47,codingPotential
Lai_PNS,CLU,CLU,ENST00000519742,0.11,3.7012599066097226e-47,domain_identified
Lai_PNS,CLU,CLU,ENST00000519742,0.11,3.7012599066097226e-47,signal_peptide_identified
Lai_PNS,CLU,CLU,ENST00000519472,0.10703333333333334,3.7012599066097226e-47,codingPotential
Lai_PNS,CLU,CLU,ENST00000519472,0.10703333333333334,3.7012599066097226e-47,domain_identified
Lai_PNS,CLU,CLU,ENST00000519472,0.10703333333333334,3.7012599066097226e-47,signal_peptide_identified
Lai_PNS,LRRC57,LRRC57,ENST00000323443,0.14005,3.401260089441524e-44,IR
Lai_PNS,LRRC57,LRRC57,ENST00000323443,0.14005,3.401260089441524e-44,codingPotential
Lai_PNS,LRRC57,LRRC57,ENST00000323443,0.14005,3.401260089441524e-44,domain_identified
Lai_PNS,PLEKHA7,PLEKHA7,ENST00000355661,0.1786,1.1900405503403665e-43,codingPotential
Lai_PNS,PLEKHA7,PLEKHA7,ENST00000355661,0.1786,1.1900405503403665e-43,domain_identified
Lai_PNS,PLEKHA7,PLEKHA7,ENST00000332954,-0.16643333333333332,1.1900405503403665e-43,codingPotential
Lai_PNS,MEST,MEST,ENST00000223215,0.11893333333333334,4.970099194284113e-40,IR
Lai_PNS,MEST,MEST,ENST00000223215,0.11893333333333334,4.970099194284113e-40,codingPotential
Lai_PNS,MEST,MEST,ENST00000223215,0.11893333333333334,4.970099194284113e-40,domain_identified
Lai_PNS,MEST,MEST,ENST00000341441,-0.10601666666666665,4.970099194284113e-40,IR
Lai_PNS,MEST,MEST,ENST00000341441,-0.10601666666666665,4.970099194284113e-40,codingPotential
Lai_PNS,MEST,MEST,ENST00000341441,-0.10601666666666665,4.970099194284113e-40,domain_identified
Lai_PNS,MEST,MEST,ENST00000341441,-0.10601666666666665,4.970099194284113e-40,signal_peptide_identified
Lai_PNS,SLC8A1,SLC8A1,ENST00000406785,-0.19568333333333338,5.648438090908642e-39,codingPotential
Lai_PNS,SLC8A1,SLC8A1,ENST00000406785,-0.19568333333333338,5.648438090908642e-39,domain_identified
Lai_PNS,SLC8A1,SLC8A1,ENST00000406785,-0.19568333333333338,5.648438090908642e-39,signal_peptide_identified
