dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Maddock_NCC_FA1,BCOR,BCOR,ENST00000397354,0.179275,6.972994170226225e-102,codingPotential
Maddock_NCC_FA1,BCOR,BCOR,ENST00000490976,-0.128835,6.972994170226225e-102,codingPotential
Maddock_NCC_FA1,BCOR,BCOR,ENST00000672265,-0.10473,6.972994170226225e-102,codingPotential
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000498038,0.36388,1.6762852373239754e-100,IR
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000498038,0.36388,1.6762852373239754e-100,codingPotential
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000416804,-0.32385500000000006,1.6762852373239754e-100,IR
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000416804,-0.32385500000000006,1.6762852373239754e-100,codingPotential
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000416804,-0.32385500000000006,1.6762852373239754e-100,domain_identified
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714454,-0.13754499999999997,1.6762852373239754e-100,codingPotential
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714454,-0.13754499999999997,1.6762852373239754e-100,domain_identified
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714455,0.136405,1.6762852373239754e-100,codingPotential
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714455,0.136405,1.6762852373239754e-100,PTC
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714455,0.136405,1.6762852373239754e-100,domain_identified
Maddock_NCC_FA1,HLA-DPB1,HLA-DPB1,ENST00000714455,0.136405,1.6762852373239754e-100,signal_peptide_identified
Maddock_NCC_FA1,PDE10A,PDE10A,ENST00000676766,0.24428,9.506485285385958e-56,codingPotential
Maddock_NCC_FA1,PDE10A,PDE10A,ENST00000676766,0.24428,9.506485285385958e-56,domain_identified
Maddock_NCC_FA1,PDE10A,PDE10A,ENST00000539869,-0.113235,9.506485285385958e-56,codingPotential
Maddock_NCC_FA1,PDE10A,PDE10A,ENST00000539869,-0.113235,9.506485285385958e-56,domain_identified
Maddock_NCC_FA1,DNAJC11,DNAJC11,ENST00000485073,0.10374,2.949518879669709e-46,codingPotential
Maddock_NCC_FA1,DUBR,DUBR,ENST00000669523,-0.137025,4.963377960991541e-32,IR
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000540164,0.14994,3.3353172028583335e-23,codingPotential
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000540164,0.14994,3.3353172028583335e-23,domain_identified
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000540164,0.14994,3.3353172028583335e-23,signal_peptide_identified
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000562558,-0.13399000000000003,3.3353172028583335e-23,codingPotential
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000562558,-0.13399000000000003,3.3353172028583335e-23,domain_identified
Maddock_NCC_FA1,ADGRG1,ADGRG1,ENST00000562558,-0.13399000000000003,3.3353172028583335e-23,signal_peptide_identified
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.3218,1.0030190005514673e-21,codingPotential
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.3218,1.0030190005514673e-21,domain_identified
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000398610,0.3218,1.0030190005514673e-21,signal_peptide_identified
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.3218,1.0030190005514673e-21,codingPotential
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.3218,1.0030190005514673e-21,domain_identified
Maddock_NCC_FA1,PCDHGA10,PCDHGA10,ENST00000612503,-0.3218,1.0030190005514673e-21,signal_peptide_identified
Maddock_NCC_FA1,FAM88E,FAM88E,ENST00000806186,-0.5082099999999999,1.3194554965184309e-14,IR
Maddock_NCC_FA1,FAM88E,FAM88E,ENST00000806182,0.37028,1.3194554965184309e-14,IR
Maddock_NCC_FA1,FAM88E,FAM88E,ENST00000806178,0.10424,1.3194554965184309e-14,IR
Maddock_NCC_FA1,GUSBP5,GUSBP5,ENST00000793892,-0.25655,5.715918578524052e-14,codingPotential
Maddock_NCC_FA1,CASZ1,CASZ1,ENST00000496432,0.199075,8.877047830979687e-11,codingPotential
