dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000360274,-0.244375,6.846846284073618e-126,codingPotential
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000360274,-0.244375,6.846846284073618e-126,domain_identified
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000417852,0.15085,6.846846284073618e-126,codingPotential
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000417852,0.15085,6.846846284073618e-126,domain_identified
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000403562,0.121275,6.846846284073618e-126,codingPotential
Maddock_LMN_FA2,PRKAR1B,PRKAR1B,ENST00000403562,0.121275,6.846846284073618e-126,domain_identified
Maddock_LMN_FA2,MPRIP,MPRIP,ENST00000577514,0.132525,1.5977015591403834e-94,codingPotential
Maddock_LMN_FA2,MPRIP,MPRIP,ENST00000577514,0.132525,1.5977015591403834e-94,domain_identified
Maddock_LMN_FA2,AXIN2,AXIN2,ENST00000375702,-0.15662500000000001,1.0566214310483638e-84,codingPotential
Maddock_LMN_FA2,AXIN2,AXIN2,ENST00000375702,-0.15662500000000001,1.0566214310483638e-84,domain_identified
Maddock_LMN_FA2,AXIN2,AXIN2,ENST00000618960,0.11632500000000001,1.0566214310483638e-84,codingPotential
Maddock_LMN_FA2,AXIN2,AXIN2,ENST00000618960,0.11632500000000001,1.0566214310483638e-84,domain_identified
Maddock_LMN_FA2,TPP2,TPP2,ENST00000651544,0.1265,1.2176408062422562e-63,codingPotential
Maddock_LMN_FA2,TPP2,TPP2,ENST00000651544,0.1265,1.2176408062422562e-63,domain_identified
Maddock_LMN_FA2,CNTN1,CNTN1,ENST00000551295,0.1866,7.084191460107416e-58,codingPotential
Maddock_LMN_FA2,CNTN1,CNTN1,ENST00000551295,0.1866,7.084191460107416e-58,domain_identified
Maddock_LMN_FA2,CNTN1,CNTN1,ENST00000551295,0.1866,7.084191460107416e-58,signal_peptide_identified
Maddock_LMN_FA2,CNTN1,CNTN1,ENST00000347616,-0.126425,7.084191460107416e-58,codingPotential
