dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Erwin,HSPH1,HSPH1,ENST00000602786,-0.2068,1.4527225687749806e-80,IR
Erwin,HSPH1,HSPH1,ENST00000602786,-0.2068,1.4527225687749806e-80,codingPotential
Erwin,HSPH1,HSPH1,ENST00000602786,-0.2068,1.4527225687749806e-80,PTC
Erwin,HSPH1,HSPH1,ENST00000602786,-0.2068,1.4527225687749806e-80,domain_identified
Erwin,HSPH1,HSPH1,ENST00000630972,0.14182499999999995,1.4527225687749806e-80,IR
Erwin,HSPH1,HSPH1,ENST00000630972,0.14182499999999995,1.4527225687749806e-80,codingPotential
Erwin,HSPH1,HSPH1,ENST00000630972,0.14182499999999995,1.4527225687749806e-80,domain_identified
Erwin,LCOR,LCOR,ENST00000371103,-0.49570000000000003,2.0028641474467982e-38,IR
Erwin,LCOR,LCOR,ENST00000371103,-0.49570000000000003,2.0028641474467982e-38,codingPotential
Erwin,LCOR,LCOR,ENST00000371103,-0.49570000000000003,2.0028641474467982e-38,domain_identified
Erwin,LCOR,LCOR,ENST00000674725,0.471275,2.0028641474467982e-38,IR
Erwin,LCOR,LCOR,ENST00000674725,0.471275,2.0028641474467982e-38,codingPotential
Erwin,LCOR,LCOR,ENST00000674725,0.471275,2.0028641474467982e-38,domain_identified
Erwin,IARS1,IARS1,ENST00000683469,-0.132975,5.037054371430617e-27,codingPotential
Erwin,IARS1,IARS1,ENST00000683469,-0.132975,5.037054371430617e-27,domain_identified
Erwin,MAP3K7,MAP3K7,ENST00000703100,0.22525,6.036814384378737e-24,codingPotential
Erwin,MAP3K7,MAP3K7,ENST00000703100,0.22525,6.036814384378737e-24,PTC
Erwin,MAP3K7,MAP3K7,ENST00000703100,0.22525,6.036814384378737e-24,domain_identified
Erwin,MAP3K7,MAP3K7,ENST00000700580,-0.197025,6.036814384378737e-24,codingPotential
Erwin,MAP3K7,MAP3K7,ENST00000700580,-0.197025,6.036814384378737e-24,PTC
Erwin,MAP3K7,MAP3K7,ENST00000700580,-0.197025,6.036814384378737e-24,domain_identified
Erwin,IPO4,IPO4,ENST00000558046,0.183475,1.0220860959503822e-21,codingPotential
Erwin,IPO4,IPO4,ENST00000558046,0.183475,1.0220860959503822e-21,PTC
Erwin,IPO4,IPO4,ENST00000354464,-0.13855,1.0220860959503822e-21,codingPotential
Erwin,IPO4,IPO4,ENST00000354464,-0.13855,1.0220860959503822e-21,domain_identified
Erwin,CD59,CD59,ENST00000395850,0.1528,1.8521220472930042e-20,codingPotential
Erwin,CD59,CD59,ENST00000395850,0.1528,1.8521220472930042e-20,domain_identified
Erwin,CD59,CD59,ENST00000395850,0.1528,1.8521220472930042e-20,signal_peptide_identified
Erwin,ECE1,ECE1,ENST00000357071,0.181025,1.923997880303625e-20,codingPotential
Erwin,ECE1,ECE1,ENST00000357071,0.181025,1.923997880303625e-20,domain_identified
Erwin,TPP1,TPP1,ENST00000643439,-0.246075,7.068939318027779e-19,codingPotential
Erwin,TPP1,TPP1,ENST00000643439,-0.246075,7.068939318027779e-19,PTC
Erwin,TPP1,TPP1,ENST00000643439,-0.246075,7.068939318027779e-19,signal_peptide_identified
Erwin,TMEM94,TMEM94,ENST00000580918,-0.2651,1.1292413170598534e-18,codingPotential
Erwin,TMEM94,TMEM94,ENST00000577247,0.20235,1.1292413170598534e-18,codingPotential
Erwin,TMEM94,TMEM94,ENST00000581252,0.1991,1.1292413170598534e-18,codingPotential
Erwin,TMEM94,TMEM94,ENST00000578624,0.151775,1.1292413170598534e-18,IR
Erwin,TMEM94,TMEM94,ENST00000578624,0.151775,1.1292413170598534e-18,codingPotential
Erwin,TMEM94,TMEM94,ENST00000581453,-0.13025,1.1292413170598534e-18,IR
Erwin,TMEM94,TMEM94,ENST00000581453,-0.13025,1.1292413170598534e-18,codingPotential
Erwin,GNA12,GNA12,ENST00000491117,-0.349325,3.054996180411441e-15,codingPotential
Erwin,GNA12,GNA12,ENST00000275364,0.1906,3.054996180411441e-15,codingPotential
Erwin,GNA12,GNA12,ENST00000275364,0.1906,3.054996180411441e-15,domain_identified
Erwin,GNA12,GNA12,ENST00000715274,0.138,3.054996180411441e-15,codingPotential
Erwin,GNA12,GNA12,ENST00000715274,0.138,3.054996180411441e-15,PTC
